fid,AAV2020,AN,BV2012,COUVERT,DEP,DEPCOM,DOM,ECLAIRE,EPCI,DCIRIS,LAMBERT_X,LAMBERT_Y,QP,QUALI_IRIS,QUALI_QP,QUALI_QVA,QUALI_ZFU,QUALI_ZUS,QUALITE_XY,QVA,REG,SDOM,TYPEQU,UU2020,ZFU,ZUS,NB_SALLES,NB_AIREJEU,codearondo
"614",CSZ,"2021","04173",NC,"04","04006",F,NC,"200068625","040060000","984701.9","6361020",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,CSZ,CSZ,CSZ,,"23","204"
"615",CSZ,"2021","04173",NC,"04","04006",F,NC,"200068625","040060000","989130.4","6355768",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,CSZ,CSZ,CSZ,,"1","204"
"616",CSZ,"2021","04173",NON,"04","04006",F,NON,"200068625","040060000","988736.7","6355671",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F105,CSZ,CSZ,CSZ,,"1","204"
"617",CSZ,"2021","06099",NON,"04","04008",F,OUI,"200068625","040080000","994181.3","6325361",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"1","204"
"618",CSZ,"2021","06099",NON,"04","04008",F,NON,"200068625","040080000","993694.8","6325631",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,CSZ,CSZ,CSZ,,"2","204"
"619",CSZ,"2021","06099",OUI,"04","04008",F,OUI,"200068625","040080000","993917.7","6325398",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F112,CSZ,CSZ,CSZ,,"1","204"
"620",CSZ,"2021","06099",NON,"04","04008",F,NON,"200068625","040080000","993934.8","6325497",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F101,CSZ,CSZ,CSZ,,"1","204"
"621",CSZ,"2021","06099",OUI,"04","04008",F,OUI,"200068625","040080000","993936.9","6325400",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,CSZ,CSZ,CSZ,,"1","204"
"622",CSZ,"2021","06099",NON,"04","04008",F,NON,"200068625","040080000","994026.6","6325387",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,CSZ,CSZ,CSZ,,"1","204"
"623",CSZ,"2021","06099",NON,"04","04008",F,NON,"200068625","040080000","994078.3","6325349",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"1","204"
"624",CSZ,"2021","83115",NON,"83","83068",F,NON,"200036077","830680000","992629.2","6249880",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F118,"83311",CSZ,CSZ,,"1","183"
"625",CSZ,"2021","83115",OUI,"83","83068",F,OUI,"200036077","830680000","988123","6247428",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"83311",CSZ,CSZ,,"2","183"
"626","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690120","956341.5","6221147",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F113,"00757",CSZ,CSZ,,"1","283"
"627","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690106","957267.7","6230773",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F113,"00757",CSZ,CSZ,,"1","283"
"628","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690106","957093","6230738",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F121,"00757",CSZ,CSZ,,"2","283"
"629","018","2021","83137",NON,"83","83069",F,NON,"248300543","830690102","956045.4","6229276",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F117,"00757",CSZ,CSZ,,"1","283"
"630","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690116","955565.8","6228751",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F103,"00757",CSZ,CSZ,,"6","283"
"631","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690116","955632.7","6228728",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F101,"00757",CSZ,CSZ,,"4","283"
"632","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690116","955599.3","6228728",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F116,"00757",CSZ,CSZ,,"1","283"
"633","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690116","955499.7","6228505",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F103,"00757",CSZ,CSZ,,"6","283"
"634","018","2021","83137",NON,"83","83069",F,NON,"248300543","830690122","956341","6225868",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F106,"00757",CSZ,CSZ,,"1","283"
"635","018","2021","83137",NON,"83","83069",F,NON,"248300543","830690120","956531.6","6221517",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F111,"00757",CSZ,CSZ,,"1","283"
"636","018","2021","83137",NON,"83","83069",F,NON,"248300543","830690120","956533.7","6221547",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F103,"00757",CSZ,CSZ,,"1","283"
"637","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690117","960210.8","6229439",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F113,"00757",CSZ,CSZ,,"1","283"
"638","018","2021","83137",NON,"83","83069",F,NON,"248300543","830690120","957256.6","6225590",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F118,"00757",CSZ,CSZ,,"1","283"
"639","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690106","955819.7","6229642",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F113,"00757",CSZ,CSZ,,"1","283"
"640","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690129","953856.7","6229215",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F121,"00757",CSZ,CSZ,,"1","283"
"641","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690129","953856.7","6229215",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F112,"00757",CSZ,CSZ,,"1","283"
"642","126","2021","83050",OUI,"83","83085",F,OUI,"248300493","830850000","990043.3","6272762",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"83501",CSZ,CSZ,,"1","183"
"643","126","2021","83050",OUI,"83","83085",F,OUI,"248300493","830850000","990051.7","6272774",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F101,"83501",CSZ,CSZ,,"1","183"
"644","092","2021","83050",NON,"83","83086",F,NON,"248300493","830860102","987732.7","6270057",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F111,"83501",CSZ,CSZ,,"1","183"
"645","092","2021","83050",OUI,"83","83086",F,OUI,"248300493","830860103","988978.2","6270255",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F121,"83501",CSZ,CSZ,,"1","183"
"646","092","2021","83050",NON,"83","83086",F,OUI,"248300493","830860101","988719.8","6270074",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F111,"83501",CSZ,CSZ,,"1","183"
"647","092","2021","83050",NON,"83","83086",F,NON,"248300493","830860101","988696.2","6270058",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F117,"83501",CSZ,CSZ,,"1","183"
"648","092","2021","83050",NON,"83","83086",F,OUI,"248300493","830860101","988642.2","6270086",QP083004,"2","2",X,X,X,Bonne,CSZ,"93",F1,F102,"83501",CSZ,CSZ,,"1","183"
"649","092","2021","83050",OUI,"83","83086",F,OUI,"248300493","830860102","987614.8","6270012",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F121,"83501",CSZ,CSZ,,"1","183"
"650","092","2021","83050",OUI,"83","83086",F,OUI,"248300493","830860102","987607.3","6270036",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F120,"83501",CSZ,CSZ,,"1","183"
"651","092","2021","83050",OUI,"83","83086",F,NON,"248300493","830860102","987606.8","6270064",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F112,"83501",CSZ,CSZ,,"1","183"
"652","092","2021","83050",NON,"83","83086",F,OUI,"248300493","830860102","987691.9","6269974",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F113,"83501",CSZ,CSZ,,"2","183"
"653","092","2021","83050",NON,"83","83086",F,OUI,"248300493","830860102","987640.9","6269884",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F103,"83501",CSZ,CSZ,,"3","183"
"654","092","2021","83050",NON,"83","83086",F,NON,"248300493","830860102","987692.6","6269978",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F107,"83501",CSZ,CSZ,,"1","183"
"655","092","2021","83050",OUI,"83","83086",F,OUI,"248300493","830860102","985908.8","6269186",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F120,"83501",CSZ,CSZ,,"1","183"
"656","092","2021","83050",NON,"83","83086",F,NON,"248300493","830860101","988667","6270005",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F102,"83501",CSZ,CSZ,,"1","183"
"657","092","2021","83050",OUI,"83","83086",F,OUI,"248300493","830860102","986343.2","6269332",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F120,"83501",CSZ,CSZ,,"1","183"
"658","092","2021","83050",OUI,"83","83086",F,OUI,"248300493","830860102","986343.9","6269334",HZ,"2","2",X,X,X,Bonne,CSZ,"93",F1,F114,"83501",CSZ,CSZ,,"1","183"
"659","003","2021","13055",NON,"83","83087",F,OUI,"200068104","830870000","925194.6","6256765",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83121",CSZ,CSZ,,"3","383"
"660","003","2021","13055",NON,"83","83087",F,OUI,"200068104","830870000","925783.6","6256444",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83121",CSZ,CSZ,,"1","383"
"661","003","2021","13055",NON,"83","83087",F,NON,"200068104","830870000","925135","6254998",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"83121",CSZ,CSZ,,"2","383"
"662","003","2021","13055",OUI,"83","83087",F,OUI,"200068104","830870000","926046.7","6256920",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,"83121",CSZ,CSZ,,"3","383"
"663","092","2021","83107",NON,"83","83107",F,NON,"200035319","831070104","994067.8","6267987",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F118,"83306",CSZ,CSZ,,"2","183"
"664","092","2021","83107",OUI,"83","83107",F,OUI,"200035319","831070104","994633.9","6269246",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F120,"83306",CSZ,CSZ,,"3","183"
"665","092","2021","83107",NON,"83","83107",F,OUI,"200035319","831070104","997659.8","6265153",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F113,"83306",CSZ,CSZ,,"1","183"
"666","092","2021","83107",NON,"83","83107",F,NON,"200035319","831070104","997598.1","6265207",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F111,"83306",CSZ,CSZ,,"1","183"
"667","092","2021","83107",NON,"83","83107",F,NON,"200035319","831070104","997578.2","6265233",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F101,"83306",CSZ,CSZ,,"1","183"
"668","092","2021","83107",NON,"83","83107",F,OUI,"200035319","831070103","1001108","6256737",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F103,"83306",CSZ,CSZ,,"5","183"
"669","092","2021","83107",NON,"83","83107",F,OUI,"200035319","831070102","994504.2","6272006",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F106,"83306",CSZ,CSZ,,"3","183"
"670","092","2021","83107",NON,"83","83107",F,NON,"200035319","831070104","997842","6262495",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F103,"83306",CSZ,CSZ,,"7","183"
"671","092","2021","83107",NON,"83","83107",F,NON,"200035319","831070104","997653.6","6262586",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F111,"83306",CSZ,CSZ,,"2","183"
"672","092","2021","83107",OUI,"83","83107",F,OUI,"200035319","831070104","997574.6","6262593",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F101,"83306",CSZ,CSZ,,"2","183"
"673","092","2021","83107",OUI,"83","83107",F,OUI,"200035319","831070104","997574.6","6262505",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F120,"83306",CSZ,CSZ,,"2","183"
"674","092","2021","83107",NON,"83","83107",F,OUI,"200035319","831070104","998287.3","6264464",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F106,"83306",CSZ,CSZ,,"1","183"
"675","018","2021","83064",NON,"83","83108",F,NON,"200068104","831080000","942012","6252958",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83103",CSZ,CSZ,,"1","383"
"676","018","2021","83064",NON,"83","83108",F,NON,"200068104","831080000","941407.5","6253186",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F109,"83103",CSZ,CSZ,,"1","383"
"677","018","2021","83064",NON,"83","83108",F,OUI,"200068104","831080000","942216.3","6252991",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"83103",CSZ,CSZ,,"1","383"
"678","018","2021","83064",NON,"83","83108",F,OUI,"200068104","831080000","941341.6","6253383",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83103",CSZ,CSZ,,"1","383"
"679","031","2021","06088",NON,"06","06004",F,OUI,"240600585","060040113","1033200","6285294",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F106,"06701",CSZ,CSZ,,"2","106"
"680",MON,"2021","06083",OUI,"06","06083",F,OUI,"240600551","060830205","1061464","6309190",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F121,"06501",CSZ,CSZ,,"1","206"
"681",MON,"2021","06083",OUI,"06","06083",F,OUI,"240600551","060830205","1061433","6309223",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F101,"06501",CSZ,CSZ,,"1","206"
"682",MON,"2021","06083",OUI,"06","06035",F,OUI,"240600551","060350000","1061008","6310792",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"06501",CSZ,CSZ,,"1","206"
"683",MON,"2021","06083",NON,"06","06083",F,OUI,"240600551","060830203","1062599","6308142",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F102,"06501",CSZ,CSZ,,"4","206"
"684","031","2021","06088",OUI,"06","06084",F,OUI,"200039857","060840103","1020609","6288141",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F112,"06701",CSZ,CSZ,,"2","106"
"685","031","2021","06088",NON,"06","06084",F,OUI,"200039857","060840103","1020632","6288142",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F117,"06701",CSZ,CSZ,,"1","106"
"686","031","2021","06088",NON,"06","06084",F,OUI,"200039857","060840103","1020587","6288140",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F102,"06701",CSZ,CSZ,,"1","106"
"687","031","2021","06088",NON,"06","06084",F,NON,"200039857","060840103","1020608","6288171",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F111,"06701",CSZ,CSZ,,"1","106"
"688","031","2021","06088",OUI,"06","06084",F,OUI,"200039857","060840102","1020553","6287921",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F120,"06701",CSZ,CSZ,,"1","106"
"689","031","2021","06088",OUI,"06","06084",F,OUI,"200039857","060840102","1020553","6287921",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F121,"06701",CSZ,CSZ,,"1","106"
"690","031","2021","06088",OUI,"06","06084",F,OUI,"200039857","060840102","1020553","6287921",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F114,"06701",CSZ,CSZ,,"1","106"
"691","031","2021","06088",NON,"06","06084",F,OUI,"200039857","060840102","1020428","6287730",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F107,"06701",CSZ,CSZ,,"1","106"
"692","031","2021","06088",NON,"06","06084",F,OUI,"200039857","060840102","1020428","6287730",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F113,"06701",CSZ,CSZ,,"2","106"
"693","031","2021","06088",NON,"06","06069",F,NON,"200039857","060690113","1018973","6289419",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F109,"06701",CSZ,CSZ,,"1","106"
"694","031","2021","06088",NON,"06","06084",F,NON,"200039857","060840101","1018817","6288748",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F107,"06701",CSZ,CSZ,,"1","106"
"695","031","2021","06088",NON,"06","06084",F,OUI,"200039857","060840101","1018817","6288748",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F103,"06701",CSZ,CSZ,,"9","106"
"696","031","2021","06088",NON,"06","06084",F,OUI,"200039857","060840101","1018232","6286290",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F106,"06701",CSZ,CSZ,,"3","106"
"697","031","2021","06088",OUI,"06","06084",F,OUI,"200039857","060840104","1020506","6288414",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F116,"06701",CSZ,CSZ,,"2","106"
"698","031","2021","06088",NON,"06","06084",F,NON,"200039857","060840103","1020979","6287943",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F111,"06701",CSZ,CSZ,,"2","106"
"699","031","2021","06088",OUI,"06","06084",F,OUI,"200039857","060840103","1020673","6288206",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F112,"06701",CSZ,CSZ,,"1","106"
"700","031","2021","06088",NON,"06","06084",F,NON,"200039857","060840101","1018727","6287613",CSZ,"2",X,X,X,X,Bonne,CSZ,"93",F1,F111,"06701",CSZ,CSZ,,"1","106"
"701","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690106","956513.2","6229687",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F107,"00757",CSZ,CSZ,,"1","283"
"702","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690106","956556.5","6229705",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F113,"00757",CSZ,CSZ,,"2","283"
"703","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690106","956448.9","6229663",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F111,"00757",CSZ,CSZ,,"3","283"
"704","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690106","956522.8","6229588",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F112,"00757",CSZ,CSZ,,"1","283"
"705","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690106","956522.8","6229588",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F114,"00757",CSZ,CSZ,,"1","283"
"706","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690106","956522.8","6229588",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F120,"00757",CSZ,CSZ,,"1","283"
"707","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690113","954723.8","6227985",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F121,"00757",CSZ,CSZ,,"1","283"
"708","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690117","958977.3","6228553",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F113,"00757",CSZ,CSZ,,"2","283"
"709","018","2021","83137",NON,"83","83069",F,NON,"248300543","830690126","957658.7","6233925",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F109,"00757",CSZ,CSZ,,"1","283"
"710","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690121","955639.6","6228431",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F121,"00757",CSZ,CSZ,,"1","283"
"711","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690121","955639","6228446",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F116,"00757",CSZ,CSZ,,"1","283"
"712","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690121","955639","6228446",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F114,"00757",CSZ,CSZ,,"2","283"
"713","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690122","954403","6227275",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F121,"00757",CSZ,CSZ,,"1","283"
"714","018","2021","83137",NON,"83","83069",F,OUI,"248300543","830690122","954503.8","6227366",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F104,"00757",CSZ,CSZ,,"2","283"
"715","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690122","954505.1","6227389",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F120,"00757",CSZ,CSZ,,"1","283"
"716","018","2021","83137",NON,"83","83069",F,NON,"248300543","830690118","955234.7","6220737",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F117,"00757",CSZ,CSZ,,"1","283"
"717","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690127","953329.7","6228421",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F120,"00757",CSZ,CSZ,,"2","283"
"718","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690116","955381.5","6228157",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F106,"00757",CSZ,CSZ,,"4","283"
"719","018","2021","83137",NON,"83","83069",F,NON,"248300543","830690126","958011.8","6234483",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F106,"00757",CSZ,CSZ,,"3","283"
"720","018","2021","83137",OUI,"83","83069",F,OUI,"248300543","830690116","954846.3","6228024",HZ,"2","2","2",X,X,Bonne,HZ,"93",F1,F116,"00757",CSZ,CSZ,,"1","283"
"721","003","2021","13055",NON,"83","83087",F,OUI,"200068104","830870000","925598.3","6256199",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83121",CSZ,CSZ,,"4","383"
"722","003","2021","13055",NON,"83","83087",F,OUI,"200068104","830870000","925902.5","6256545",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"83121",CSZ,CSZ,,"1","383"
"723","003","2021","13055",NC,"83","83087",F,NC,"200068104","830870000","925716.6","6256251",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,"83121",CSZ,CSZ,,"1","383"
"724","003","2021","13055",OUI,"83","83087",F,OUI,"200068104","830870000","925624.4","6256450",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F112,"83121",CSZ,CSZ,,"1","383"
"725","003","2021","13055",OUI,"83","83087",F,OUI,"200068104","830870000","925521.9","6256502",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F120,"83121",CSZ,CSZ,,"1","383"
"726","003","2021","13055",NON,"83","83087",F,NON,"200068104","830870000","925956.7","6258411",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F108,"83121",CSZ,CSZ,,"3","383"
"727","003","2021","13055",OUI,"83","83087",F,OUI,"200068104","830870000","925809.6","6256329",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83121",CSZ,CSZ,,"1","383"
"728","018","2021","83064",NON,"83","83088",F,OUI,"200068104","830880000","944506.3","6250265",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83107",CSZ,CSZ,,"2","383"
"729","018","2021","83064",NON,"83","83088",F,NON,"200068104","830880000","944688.3","6250603",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F113,"83107",CSZ,CSZ,,"1","383"
"730","018","2021","83064",NON,"83","83088",F,OUI,"200068104","830880000","944768.9","6250512",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83107",CSZ,CSZ,,"3","383"
"731","018","2021","83064",NON,"83","83088",F,NON,"200068104","830880000","944747.1","6250617",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83107",CSZ,CSZ,,"1","383"
"732","018","2021","83064",NON,"83","83088",F,NON,"200068104","830880000","944761.3","6250584",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F117,"83107",CSZ,CSZ,,"1","383"
"733","018","2021","83064",NC,"83","83088",F,NC,"200068104","830880000","944499.7","6250246",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,"83107",CSZ,CSZ,,"1","383"
"734","018","2021","83064",OUI,"83","83088",F,OUI,"200068104","830880000","944495.9","6250344",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83107",CSZ,CSZ,,"1","383"
"735","003","2021","83116",NON,"83","83089",F,NON,"200068104","830890000","926366.4","6271423",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F106,CSZ,CSZ,CSZ,,"2","383"
"736","003","2021","83116",NON,"83","83089",F,NON,"200068104","830890000","929004.1","6268885",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"1","383"
"737","003","2021","83116",NON,"83","83089",F,NON,"200068104","830890000","928689.1","6268907",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"1","383"
"738","018","2021","83137",OUI,"83","83090",F,OUI,"248300543","830900103","932147.6","6230238",CSZ,"2",X,X,X,"2",Bonne,CSZ,"93",F1,F121,"00757",CSZ,HZ,,"1","283"
"739","018","2021","83137",NON,"83","83090",F,OUI,"248300543","830900103","932161.9","6230340",CSZ,"2",X,X,X,"2",Bonne,CSZ,"93",F1,F113,"00757",CSZ,HZ,,"2","283"
"740","018","2021","83137",NON,"83","83090",F,NON,"248300543","830900103","932119.2","6230190",CSZ,"2",X,X,X,"2",Bonne,CSZ,"93",F1,F111,"00757",CSZ,HZ,,"1","283"
"741","018","2021","83064",NC,"83","83108",F,NC,"200068104","831080000","941934","6252961",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F2,F203,"83103",CSZ,CSZ,,"1","383"
"742","018","2021","83064",NON,"83","83108",F,OUI,"200068104","831080000","941330.3","6253597",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,"83103",CSZ,CSZ,,"1","383"
"743","018","2021","83064",NON,"83","83108",F,NON,"200068104","831080000","941375.1","6253334",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,"83103",CSZ,CSZ,,"1","383"
"744","018","2021","83064",NON,"83","83108",F,OUI,"200068104","831080000","942079.3","6253004",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,"83103",CSZ,CSZ,,"2","383"
"745","018","2021","83064",OUI,"83","83108",F,OUI,"200068104","831080000","941391.2","6253424",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,"83103",CSZ,CSZ,,"1","383"
"746","018","2021","83064",NON,"83","83108",F,NON,"200068104","831080000","942025.1","6252936",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F117,"83103",CSZ,CSZ,,"1","383"
"747",CSZ,"2021","83050",NON,"83","83109",F,OUI,"248300493","831090000","992391.9","6298300",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"2","183"
"748",CSZ,"2021","83050",NON,"83","83109",F,NON,"248300493","831090000","992180.3","6298278",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F101,CSZ,CSZ,CSZ,,"1","183"
"749",CSZ,"2021","83050",NON,"83","83109",F,OUI,"248300493","831090000","992195.4","6298234",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F103,CSZ,CSZ,CSZ,,"1","183"
"750",CSZ,"2021","83050",NON,"83","83109",F,NON,"248300493","831090000","992207.2","6298251",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F111,CSZ,CSZ,CSZ,,"2","183"
"751","003","2021","83116",OUI,"83","83110",F,OUI,"200068104","831100000","931193","6258995",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F116,CSZ,CSZ,CSZ,,"1","383"
"752","003","2021","83116",NON,"83","83110",F,NON,"200068104","831100000","931149.8","6258954",CSZ,X,X,X,X,X,Bonne,CSZ,"93",F1,F102,CSZ,CSZ,CSZ,,"1","383"
